,operating_unit_name,ecom_reference_order_number,ordered_item,ordered_quantity,unit_selling_price,unit_list_price,ordered_date,tax_code,product_id,product_name,product_category
158,Cosmaline Local,396910,119901,5,0.2145,0.2525,2024-01-23,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
159,Cosmaline Local,396910,119901,1,0.2145,0.2525,2024-01-23,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
160,Cosmaline Local,397454,119901,1,0.2525,0.2525,2024-01-27,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
161,Cosmaline Local,397454,119901,1,0.2525,0.2525,2024-01-27,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
162,Cosmaline Local,397454,119901,2,0.2525,0.2525,2024-01-27,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
163,Cosmaline Local,397404,119901,2,0.2525,0.2525,2024-01-26,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
164,Cosmaline Local,397378,119901,10,0.2525,0.2525,2024-01-26,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
165,Cosmaline Local,397428,119901,1,0.2145,0.2525,2024-01-26,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
166,Cosmaline Local,397402,119901,1,0.231,0.2525,2024-01-26,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
167,Cosmaline Local,397402,119901,1,0.231,0.2525,2024-01-26,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
168,Cosmaline Local,397481,119901,1,0.2085,0.2525,2024-01-29,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
169,Cosmaline Local,397137,119901,2,0.2525,0.2525,2024-01-30,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
170,Cosmaline Local,397137,119901,1,0.2525,0.2525,2024-01-30,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
171,Cosmaline Local,397843,119901,2,0.2525,0.2525,2024-01-31,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
172,Cosmaline Local,397843,119901,1,0.2525,0.2525,2024-01-31,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
