ShprNo,HAWB,Delivery_Date,CODAmount,CODCurrency,O_CODAmount,Aramex_Inv_date,TOKENNO
11150,8596268537,2024-02-29,0.0,USD,13.325,2024-02-29,290224RC
11150,8596268538,2024-02-28,0.0,USD,22.785,2024-02-29,290224RC
11150,8596268539,2024-02-28,0.0,USD,23.675,2024-02-29,290224RC
11150,8596268541,2024-02-28,0.0,USD,10.405,2024-02-29,290224RC
11150,8596268542,2024-02-29,0.0,USD,13.9,2024-02-29,290224RC
11150,8596268544,2024-02-28,0.0,USD,15.095,2024-02-29,290224RC
11150,8596268545,2024-02-28,0.0,USD,13.1,2024-02-29,290224RC
11150,8596268546,2024-02-29,0.0,USD,4.2,2024-02-29,290224RC
11150,8596268547,2024-02-28,0.0,USD,13.165,2024-02-29,290224RC
11150,8596268548,2024-02-28,0.0,USD,5.4,2024-02-29,290224RC
11150,8596268549,2024-02-28,0.0,USD,15.0,2024-02-29,290224RC
11150,8596268550,2024-02-28,0.0,USD,5.955,2024-02-29,290224RC
11150,8596268551,2024-02-28,0.0,USD,4.785,2024-02-29,290224RC
11150,8596268552,2024-02-28,0.0,USD,4.78,2024-02-29,290224RC
11150,8596268553,2024-02-28,0.0,USD,7.065,2024-02-29,290224RC
11150,8596268554,2024-02-29,0.0,USD,5.03,2024-02-29,290224RC
11150,8596268555,2024-02-29,0.0,USD,7.45,2024-02-29,290224RC
11150,8596268557,2024-02-29,0.0,USD,15.29,2024-02-29,290224RC
