ShprNo,AWB,Delivery_Date,CODAmount,CODCurrency,O_CODAmount,Aramex_Inv_date,TOKENNO,order_number
11150.0,8596268954,2024-03-05,0.0,USD,18.69,2024-03-08,1103245TT,400553.0
11150.0,8596268958,2024-03-05,0.0,USD,5.88,2024-03-08,1103245TT,400557.0
11150.0,8596268964,2024-03-05,0.0,USD,14.73,2024-03-08,1103245TT,400563.0
11150.0,8596268973,2024-03-05,0.0,USD,6.45,2024-03-08,1103245TT,400572.0
11150.0,8596268975,2024-03-05,0.0,USD,9.315,2024-03-08,1103245TT,400574.0
11150.0,8596268976,2024-03-05,0.0,USD,43.11,2024-03-08,1103245TT,400575.0
11150.0,8596268977,2024-03-05,0.0,USD,5.235,2024-03-08,1103245TT,400576.0
11150.0,8596268980,2024-03-05,0.0,USD,8.01,2024-03-08,1103245TT,400579.0
11150.0,8596268983,2024-03-05,0.0,USD,5.34,2024-03-08,1103245TT,400582.0
11150.0,8596268992,2024-03-05,0.0,USD,6.86,2024-03-08,1103245TT,400591.0
11150.0,8596268993,2024-03-05,0.0,USD,11.045,2024-03-08,1103245TT,400592.0
11150.0,8596268994,2024-03-05,0.0,USD,16.4,2024-03-08,1103245TT,400593.0
11150.0,8596268995,2024-03-05,0.0,USD,5.625,2024-03-08,1103245TT,400594.0
11150.0,8596268996,2024-03-05,0.0,USD,6.725,2024-03-08,1103245TT,400595.0
11150.0,8596268998,2024-03-05,0.0,USD,14.115,2024-03-08,1103245TT,400597.0
11150.0,8596268999,2024-03-05,0.0,USD,6.595,2024-03-08,1103245TT,400598.0
11150.0,8596269000,2024-03-05,0.0,USD,8.885,2024-03-08,1103245TT,400599.0
11150.0,8596269002,2024-03-05,0.0,USD,5.25,2024-03-08,1103245TT,400601.0
11150.0,8596269006,2024-03-05,0.0,USD,6.955,2024-03-08,1103245TT,400605.0
11150.0,8596269007,2024-03-05,0.0,USD,4.785,2024-03-08,1103245TT,400606.0
11150.0,8596269008,2024-03-05,0.0,USD,4.525,2024-03-08,1103245TT,400607.0
11150.0,8596269010,2024-03-05,0.0,USD,7.205,2024-03-08,1103245TT,400609.0
11150.0,8596269011,2024-03-05,0.0,USD,8.0,2024-03-08,1103245TT,400610.0
11150.0,8596269012,2024-03-05,0.0,USD,5.145,2024-03-08,1103245TT,400611.0
